Task: 1, Test Name: Element is displayed, DOM Id: A__cartbt__49, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__topbanner__187, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__211, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__236, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__261, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__283, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__305, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__327, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__349, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__371, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__396, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: LI__submenu__22, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: LI__megamenusu__24, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: LI__megamenusu__26, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: LI__megamenusu__28, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: LI__megamenusu__30, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: A__accesslink__56, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: filterBtn, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: I__tiviewgrid__202, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__sortselect__193, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: logo, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: resetBtn, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: BUTTONsubmit____43, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__filtertype__73, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: filter_0, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__filtertype__98, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: filter_1, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__filtertype__128, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: filter_2, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__filtertype__158, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: filter_3, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: I__tiviewlist__204, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__customsear__41, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: A__wishlist__52, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is hidden, DOM Id: ti-filter, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is hidden, DOM Id: A__btnsearchm__59, Browser: chrome, Viewport: (1200, 700), Device: Laptop, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: A__cartbt__49, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__sortselect__193, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: logo, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: ti-filter, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__topbanner__187, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__211, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__236, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__261, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__283, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__305, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__327, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
Task: 1, Test Name: Element is displayed, DOM Id: DIV__griditem__349, Browser: chrome, Viewport: (768, 700), Device: Tablet, Status: Pass
